日期,订单号,店铺,商品,商品详情,列1,价格,列2,列3,列4,列5,交易状态3,交易状态2,交易状态1,交易状态4,交易状态5,列11,列12,列13,列14,列15,列16,列17,列18,列19,列20,列21,列22,列23,列24,列25,列26,列27,列28,列29,列30,列31,列32,列33,列34,列35,列36,列37,列38,列39,列40,列41,列42,列43,列44,列45,列46,列47,列48,列49,列50,列51,列52,列53,列54
2022/11/10,订单号: 1734879145778658774,漫花旗舰店,大包干湿两用棉柔洗脸巾 [交易快照],款式：加大加厚80片*1包,￥19.90,￥14.90,1,查看退款,投诉商家,退运保险,￥7.31,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,订单号: 1734879145779658774,卡宾男鞋旗舰店,Cabbeen/卡宾一帆风顺拼色高帮鞋 [交易快照],颜色分类：青色尺码：41[比运动鞋偏大一码],￥788.00,￥379.00,1,查看退款,投诉商家,运费险已赔付,垫付（318.68元）,￥309.54,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,订单号: 1734879145780658774,空城计旗舰店,潮流宽松直筒潮牌休闲长裤 [交易快照],颜色：黑色尺码：XL,￥298.00,￥133.20,1,查看退款,投诉商家,退运保险,￥108.78,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/4,订单号: 1726496655230658774,维宇网络科技,扩容 自己账户 快速发货 [交易快照],颜色分类：【1T1年】特价7x24小时秒发[自己账户],发货时间：11月07日 15:50前发货,￥55.00,1,申请售后,投诉卖家,￥55.00,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/4,订单号: 1725743964529658774,秋念繁星,onedrive扩容10G容量自己账户邀请升级官方安全稳定7*24小时自助 [交易快照],颜色分类：永久扩容10G,发货时间：11月05日 13:56前发货,￥2.00,1,申请售后,投诉卖家,￥2.00,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/29,订单号: 1718503070202658774,科炫 3c数码配件,压缩空气罐除尘罐除尘剂高压清洁电脑数码单反镜头风扇散热器键盘 [交易快照],发货时间：10月30日 15:09前发货,￥12.60,1,售后成功,投诉卖家,运费险已出单,￥12.49,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/23,订单号: 1711245000774658774,玫瑰花开女鞋店,简单百搭一脚蹬懒人牛皮小白鞋女 [交易快照],颜色分类：黑色尺码：37,发货时间：10月24日 23:05前发货,￥598.00,￥118.00,1,查看退款,投诉卖家,运费险已赔付,垫付（109.46元）,￥109.46,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/22,订单号: 1710262596389658774,邦夫金熊旗舰店,学生坐垫凳子椅子垫子记忆棉教室用软舒适久坐椅垫座垫屁股垫冬季 [交易快照],颜色分类：柴犬BLM记忆棉学生坐垫尺寸：小号约35X24厘米（防滑底+双搭扣）,￥38.00,￥22.80,1,违规举报,￥22.12,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/22,订单号: 1710262992027658774,海美奇旗舰店,可定制 加厚 记忆棉 屁股 垫子 [交易快照],颜色分类：BLM-柴犬坐垫【记忆棉内胆，可拆洗】尺寸：小号 24X35cm【双塔扣设计】,24小时内发货,￥50.00,￥25.00,1,违规举报,退运保险,￥25.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/22,订单号: 1710938173460658774,初奢家居旗舰店,记忆棉加厚学生坐垫长方形椅子 [交易快照],颜色分类：加厚坐垫-灰二哈尺寸：记忆棉35x24x4cm底部防滑【双绑带搭扣】,24小时内发货,￥43.60,￥23.00,1,违规举报,退运保险,￥23.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/22,订单号: 1710934322417658774,初奢家居旗舰店,记忆棉加厚学生坐垫长方形椅子 [交易快照],颜色分类：加厚坐垫-灰二哈尺寸：记忆棉35x24x4cm底部防滑【双绑带搭扣】,24小时内发货,￥43.60,￥23.00,1,违规举报,退运保险,￥23.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/21,订单号: 1709961493741658774,千芸化妆品专营店,花印玫瑰身体乳留香补水滋润保湿 [交易快照],净含量：400ml香味：玫瑰,￥199.00,￥75.00,1,违规举报,￥54.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/21,订单号: 1709280912846658774,花印三贤雅堂专卖店,花印身体乳保湿滋润补水日本 [交易快照],净含量：400ml适合肤质：所有肤质,￥129.00,￥69.00,1,申请售后,运费险已出单,￥55.93,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,双方已评,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/15,订单号: 1703565519749658774,晨光百联硕专卖店,晨光4B橡皮柔软易擦 留屑集中 [交易快照],颜色分类：【10块】4B米菲款橡皮 中号,￥8.10,￥6.50,1,违规举报,退运保险,￥6.50,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/15,订单号: 1702919964209658774,联合利华官方旗舰店,多芬滋养沐浴露单瓶装 [交易快照],净含量：1000g香味：轻柔活肤,￥63.50,￥41.90,1,违规举报,￥41.90,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/14,订单号: 1702660911668658774,电竞潮男,罗技G402 游戏鼠标有线电竞吃鸡宏机械LOL专用台式机电脑大手光电 [交易快照],颜色分类：G402[全新-2年官保]套餐类型：官方标配,￥299.00,￥229.00,1,投诉卖家,退运保险,￥172.28,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/11,订单号: 1699251855766658774,千芸化妆品专营店,花印玫瑰身体乳留香补水滋润保湿 [交易快照],净含量：400ml香味：玫瑰,￥199.00,￥75.00,1,违规举报,￥57.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/10,订单号: 1697770599116658774,Apple Store 官方旗舰店,Apple/苹果 iPhone 13 [交易快照],机身颜色：粉色存储容量：128GB网络类型：无需合约版,￥5399.00,1,违规举报,￥5399.00,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/6,订单号: 1692795397156658774,莱之美医疗器械专营店,亿信成人医疗一次性外科口罩三层 [交易快照],颜色分类：50只【深蓝色】独立包装1个1包,￥26.00,￥24.80,1,违规举报,退运保险,￥23.80,(含运费：￥0.00),交易关闭,订单详情,再次购买,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/1,订单号: 1687625436372658774,健美创研旗舰店,【佳埼推荐】高级安全型修眉刀 [交易快照],颜色分类：（新手套装A）修眉4件套,￥28.00,￥14.90,1,申请售后,运费险已出单,￥14.90,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/1,订单号: 1687624140209658774,健美创研旗舰店,【佳埼推荐】高级安全型修眉刀 [交易快照],颜色分类：（新手套装A）修眉4件套,￥28.00,￥14.90,1,查看退款,投诉商家,退运保险,￥14.90,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30,订单号: 1687194121833658774,长兴壹号包装批发商城,包邮环保透明热熔胶黄色粘性 [交易快照],颜色分类：7*190mm透明高粘型10根,￥3.00,1,投诉卖家,￥3.00,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30,订单号: 1687045262387658774,居家家您身边的居家伴侣,居家家长发防静电天然桃木梳子 [交易快照],颜色分类：月牙檀木梳&amp：17cm,￥14.30,￥12.90,1,申请售后,投诉卖家,运费险已出单,￥13.87,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,保险服务,￥0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/29,订单号: 1686550082355658774,邦夫金熊旗舰店,舒适小学高中神器长方形坐垫椅垫 [交易快照],颜色分类：柴犬YL学生坐垫尺寸：大号约38X35厘米（防滑底+有搭扣）,￥48.00,￥28.80,1,申请售后,￥27.94,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/17,订单号: 1673190591004658774,漫花旗舰店,纸巾抽纸整箱批发卫生纸 [交易快照],包装规格：30包,￥48.99,￥32.99,1,申请售后,运费险已出单,￥27.99,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,查看礼包,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/8,订单号: 1666189959163658774,gpn旗舰店,特大号猫抓板猫窝一体耐磨不掉屑 [交易快照],颜色分类：特大号加厚款【适用15斤内】今日下单送猫薄荷,￥24.80,￥16.80,1,申请售后,运费险已出单,￥11.80,(含运费：￥0.00),交易成功,订单详情,查看物流,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/5,订单号: 1663616750482658774,金鑫通讯数码,Apple/苹果Pencil电容笔iPad Pro平板绘画手写笔一代二代压感原装 [交易快照],颜色分类：二代/国行/原盒笔/官方在保[99新/送礼包],发货时间：09月07日 22:45前发货,￥678.00,￥658.00,1,查看退款,投诉卖家,运费险已赔付,垫付（658.00元）,￥658.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/5,订单号: 1663570635806658774,达达ipad数码,applepencil电容笔ipad原装笔防误触苹果笔一代2代ipencil二代pro [交易快照],颜色分类：原装二代pencil苹果笔[一年换新],发货时间：01月22日 14:02前发货,￥698.00,1,投诉卖家,￥593.00,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/4,订单号: 1662731115212658774,周赟,ps证件照之星插件一键换底色换装滤镜批量磨皮裁剪教程素材完整版 [交易快照],发货时间：09月06日 21:34前发货,￥1.27,1,申请售后,投诉卖家,￥1.27,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/2,订单号: 1660401879733658774,我的梦想是世界和平,适用于 reno玻璃后盖opporenoZ手机后壳替换reno电池盖外屏原装厂 [交易快照],颜色分类：RenoZ玻璃后盖-星辰紫[带背胶无辅料],发货时间：01月22日 14:02前发货,￥29.50,￥18.50,1,投诉卖家,￥18.50,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/31,订单号: 1658717043425658774,信诺医疗用品馆,【24h发货】75%酒精医用消毒液 [交易快照],净含量：2000ml套餐类型：套餐一,发货时间：09月02日 14:16前发货,￥56.00,￥19.80,1,申请售后,投诉卖家,￥16.80,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/29,订单号: 1655759352709658774,得力文具专卖店,得力封箱胶带加宽加长不易断 [交易快照],颜色分类：【超透款】宽4.8cm*长40m/1卷,￥10.00,￥5.00,1,申请售后,运费险已出单,￥5.00,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/29,订单号: 1655759388460658774,得力盈达专卖店,得力大卷透明胶带快递打包封箱带 [交易快照],颜色分类：【超透款】宽4.8cm*长40m/1卷,￥10.00,￥5.00,1,违规举报,￥5.00,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/28,订单号: 1656306949572658774,华源医疗用品店,澳佳葆否皮肤大容量消毒液上新装 [交易快照],净含量：2000ml套餐类型：套餐一,发货时间：08月30日 21:06前发货,￥40.98,￥15.98,1,查看退款,投诉卖家,￥13.98,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/27,订单号: 1654655414287658774,大莞家旗舰店,厨房一次性保鲜膜切割器家用保鲜膜罩食品专用切割盒磁吸冰箱神器 [交易快照],颜色分类：保鲜膜3卷-每卷50米-共150米件数：1,￥59.80,￥22.90,1,申请售后,退运保险,￥22.90,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/27,订单号: 1653936888443658774,优思居旗舰店,保鲜膜切割器厨房一次性家用壁挂 [交易快照],颜色分类：保鲜膜三卷-每卷50米-共150米件数：1,￥25.00,￥22.90,1,违规举报,￥17.32,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
